response_id,tap_id,tap_type_id,tap_class,month,responder_email,responder_name,responder_department,responder_authority,responded_at,minutes_to_respond,outcome,answer,deflected_to,rationale,quality_score,rated_worth_asking,durable,reversed_at
RSP000034,TAP000039,denial_reason_classification,tactical,2026-02,lbrennan@northharbor.health,Liam Brennan,Revenue Cycle,manager,2026-02-25T19:08:00,18,answered,Timely filing,,,0.65,false,true,
RSP000035,TAP000040,denial_reason_classification,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-05T13:45:00,24,answered,Authorization or referral,,,1.0,true,true,
RSP000036,TAP000041,denial_reason_classification,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-06T18:11:00,22,answered,Not sure -- route to a coder,,see thread,0.67,,false,
RSP000037,TAP000042,denial_reason_classification,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-08T14:28:00,26,deflected,,mdiallo@northharbor.health,,0.73,,false,
RSP000038,TAP000044,charge_capture_variance,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-23T20:35:00,238,answered,Not sure,,see thread,0.53,false,false,
RSP000039,TAP000046,charge_capture_variance,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-15T14:01:00,140,deflected,,mdiallo@northharbor.health,,0.86,false,false,
RSP000040,TAP000047,charge_capture_variance,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-14T19:07:00,177,answered,Data problem,,,0.86,true,true,
RSP000041,TAP000048,charge_capture_variance,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-22T23:21:00,389,deflected,,mdiallo@northharbor.health,,1.0,,false,
RSP000042,TAP000049,charge_capture_variance,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-03T14:23:00,196,answered,Data problem,,,0.91,,true,
RSP000043,TAP000050,charge_capture_variance,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-17T14:07:00,83,answered,Real -- fee schedule change,,,0.94,,true,
RSP000044,TAP000051,charge_capture_variance,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-18T10:32:00,185,answered,Data problem,,,0.7,false,false,
RSP000045,TAP000055,charge_capture_variance,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-07T15:04:00,85,deflected,,thoffman@northharbor.health,,0.94,true,false,
RSP000046,TAP000058,charge_capture_variance,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-19T14:13:00,120,answered,Real -- fee schedule change,,,0.94,true,true,
RSP000047,TAP000059,charge_capture_variance,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-20T03:46:00,839,answered,Data problem,,,0.89,true,true,
RSP000048,TAP000061,charge_capture_variance,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-24T23:07:00,434,answered,Real -- fee schedule change,,,0.61,true,true,
RSP000049,TAP000063,charge_capture_variance,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-11T00:30:00,467,answered,Not sure,,see thread,0.39,false,false,2026-03-05T00:30:00
RSP000050,TAP000065,charge_capture_variance,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-09T13:51:00,200,answered,Real -- fee schedule change,,,1.0,false,true,
RSP000051,TAP000066,charge_capture_variance,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-07T22:09:00,257,answered,Real -- fee schedule change,,,0.74,true,true,
RSP000052,TAP000068,charge_capture_variance,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-27T19:13:00,130,deflected,,nabara@northharbor.health,,0.74,,false,
RSP000053,TAP000070,charge_capture_variance,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-18T19:17:00,188,answered,Real -- operational change,,,0.85,true,true,
RSP000054,TAP000072,charge_capture_variance,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-15T22:38:00,200,answered,Real -- fee schedule change,,,0.73,false,true,
RSP000055,TAP000073,charge_capture_variance,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-07T10:50:00,163,answered,Data problem,,,0.73,false,true,
RSP000056,TAP000074,charge_capture_variance,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-03-01T10:31:00,1098,answered,Data problem,,,0.99,,true,
RSP000057,TAP000076,charge_capture_variance,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-17T18:44:00,482,answered,Real -- operational change,,,0.66,,false,2026-02-24T18:44:00
RSP000058,TAP000077,charge_capture_variance,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-06T21:44:00,440,deflected,,rpatel@northharbor.health,,0.98,true,false,
RSP000059,TAP000078,charge_capture_variance,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-03T18:18:00,169,answered,Real -- fee schedule change,,,0.7,false,false,
RSP000060,TAP000080,charge_capture_variance,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-09T14:49:00,169,answered,Not sure,,see thread,0.34,true,false,
RSP000061,TAP000083,charge_capture_variance,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-04T14:35:00,164,answered,Not sure,,see thread,0.53,,false,
RSP000062,TAP000085,charge_capture_variance,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-04T00:21:00,391,answered,Real -- operational change,,,1.0,,true,
RSP000063,TAP000087,charge_capture_variance,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-24T12:34:00,244,deflected,,kobrien@northharbor.health,,0.88,,false,
RSP000064,TAP000088,charge_capture_variance,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-27T16:12:00,167,answered,Not sure,,see thread,0.55,,false,
RSP000065,TAP000089,charge_capture_variance,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-28T17:21:00,134,answered,Real -- fee schedule change,,,0.93,false,true,
RSP000066,TAP000090,charge_capture_variance,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-25T19:24:00,1440,answered,Data problem,,,0.72,,true,
RSP000067,TAP000091,denial_reason_classification,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-21T15:39:00,98,answered,Clinical / medical necessity,,,0.53,,false,2026-04-22T15:39:00
RSP000068,TAP000093,denial_reason_classification,tactical,2026-03,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-03-06T09:05:00,14,answered,Coding or documentation,,,0.9,true,true,
RSP000069,TAP000096,denial_reason_classification,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-13T19:25:00,76,answered,Timely filing,,,0.79,true,true,
RSP000070,TAP000097,denial_reason_classification,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-15T17:50:00,46,answered,Eligibility or coverage,,,0.83,true,true,
RSP000071,TAP000098,denial_reason_classification,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-20T10:13:00,12,answered,Eligibility or coverage,,,0.81,,true,
RSP000072,TAP000100,denial_reason_classification,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-10T13:36:00,46,answered,Eligibility or coverage,,,0.96,,true,
RSP000073,TAP000101,denial_reason_classification,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-16T10:29:00,31,answered,Authorization or referral,,,0.84,true,false,
RSP000074,TAP000102,denial_reason_classification,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-15T18:02:00,28,answered,Eligibility or coverage,,,0.85,,true,
RSP000075,TAP000103,denial_reason_classification,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-24T18:04:00,41,answered,Clinical / medical necessity,,,0.67,true,true,
RSP000076,TAP000104,denial_reason_classification,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-20T15:19:00,33,answered,Eligibility or coverage,,,0.92,true,true,
RSP000077,TAP000105,denial_reason_classification,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-09T15:46:00,3,answered,Eligibility or coverage,,,0.79,true,true,
RSP000078,TAP000106,denial_reason_classification,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-08T10:18:00,39,answered,Coding or documentation,,,0.86,true,true,
RSP000079,TAP000107,denial_reason_classification,tactical,2026-03,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-03-17T15:07:00,31,answered,Timely filing,,,1.0,false,true,
RSP000080,TAP000108,denial_reason_classification,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-04T13:15:00,20,answered,Clinical / medical necessity,,,0.71,,true,
RSP000081,TAP000109,denial_reason_classification,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-05T17:48:00,12,answered,Timely filing,,,0.9,true,true,
RSP000082,TAP000111,denial_reason_classification,tactical,2026-03,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-03-28T16:49:00,86,answered,Clinical / medical necessity,,,0.88,true,true,
RSP000083,TAP000114,denial_reason_classification,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-14T11:01:00,14,answered,Authorization or referral,,,0.86,,false,
RSP000084,TAP000115,denial_reason_classification,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-25T16:07:00,30,answered,Coding or documentation,,,0.77,true,true,
RSP000085,TAP000117,denial_reason_classification,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-13T19:22:00,12,answered,Authorization or referral,,,0.69,true,true,
RSP000086,TAP000118,denial_reason_classification,tactical,2026-03,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-03-02T16:04:00,92,answered,Not sure -- route to a coder,,see thread,0.55,true,false,
RSP000087,TAP000120,charge_capture_variance,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-24T20:16:00,113,answered,Real -- operational change,,,0.85,,false,
RSP000088,TAP000123,charge_capture_variance,tactical,2026-03,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-03-28T17:59:00,202,answered,Not sure,,see thread,0.25,,false,2026-04-05T17:59:00
RSP000089,TAP000124,charge_capture_variance,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-08T21:26:00,666,answered,Real -- fee schedule change,,,1.0,true,true,
RSP000090,TAP000126,charge_capture_variance,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-31T14:48:00,96,answered,Not sure,,see thread,0.23,false,false,
RSP000091,TAP000127,charge_capture_variance,tactical,2026-03,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-03-23T12:11:00,195,answered,Not sure,,see thread,0.45,true,false,
RSP000092,TAP000128,charge_capture_variance,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-27T12:56:00,72,answered,Not sure,,see thread,0.45,true,false,2026-04-13T12:56:00
RSP000093,TAP000129,charge_capture_variance,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-14T12:31:00,88,answered,Real -- fee schedule change,,,0.77,true,false,2026-04-03T12:31:00
RSP000094,TAP000130,charge_capture_variance,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-12T23:31:00,300,answered,Real -- fee schedule change,,,0.75,false,true,
RSP000095,TAP000131,charge_capture_variance,tactical,2026-03,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-03-03T09:32:00,86,answered,Real -- fee schedule change,,,0.79,,true,
RSP000096,TAP000133,charge_capture_variance,tactical,2026-03,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-03-16T19:09:00,499,answered,Real -- fee schedule change,,,0.77,false,true,
RSP000097,TAP000134,charge_capture_variance,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-08T20:31:00,140,answered,Not sure,,see thread,0.51,false,false,2026-04-19T20:31:00
RSP000098,TAP000135,charge_capture_variance,tactical,2026-03,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-03-19T02:23:00,755,answered,Real -- operational change,,,0.55,,true,
RSP000099,TAP000137,charge_capture_variance,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-26T14:18:00,313,answered,Real -- fee schedule change,,,1.0,true,true,
RSP000100,TAP000138,charge_capture_variance,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-22T15:41:00,154,answered,Real -- operational change,,,0.89,true,true,
RSP000101,TAP000144,charge_capture_variance,tactical,2026-03,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-03-06T20:59:00,145,answered,Data problem,,,1.0,,true,
RSP000102,TAP000146,charge_capture_variance,tactical,2026-03,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-03-01T15:35:00,242,answered,Not sure,,see thread,0.4,false,false,
RSP000103,TAP000153,charge_capture_variance,tactical,2026-03,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-03-13T06:28:00,1102,deflected,,lbrennan@northharbor.health,,0.86,true,false,
RSP000104,TAP000154,charge_capture_variance,tactical,2026-03,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-03-24T14:52:00,103,answered,Not sure,,see thread,0.26,false,false,2026-05-09T14:52:00
RSP000105,TAP000156,charge_capture_variance,tactical,2026-03,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-03-07T21:58:00,700,deflected,,kobrien@northharbor.health,,0.93,,false,
RSP000106,TAP000157,charge_capture_variance,tactical,2026-03,lbrennan@northharbor.health,Liam Brennan,Revenue Cycle,manager,2026-03-28T18:47:00,267,answered,Not sure,,see thread,0.56,false,false,2026-05-02T18:47:00
RSP000107,TAP000158,charge_capture_variance,tactical,2026-03,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-03-02T12:35:00,98,answered,Not sure,,see thread,0.77,,false,2026-03-05T12:35:00
RSP000108,TAP000159,charge_capture_variance,tactical,2026-03,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-03-17T18:14:00,218,answered,Data problem,,,0.74,false,true,
RSP000109,TAP000161,encounter_type_mapping,tactical,2026-03,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,2026-03-16T13:55:00,89,answered,Inpatient,,,0.83,true,true,
RSP000110,TAP000162,encounter_type_mapping,tactical,2026-03,iharlow@northharbor.health,Ines Harlow,Clinical Operations,ic,2026-03-16T18:46:00,45,answered,Telehealth,,,1.0,,true,
RSP000111,TAP000163,encounter_type_mapping,tactical,2026-03,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,2026-03-17T21:39:00,168,deflected,,obayo@northharbor.health,,0.69,false,false,
RSP000112,TAP000164,encounter_type_mapping,tactical,2026-03,dschultz@northharbor.health,Dana Schultz,Clinical Operations,ic,2026-03-30T12:59:00,70,answered,Outpatient,,,0.94,true,true,
RSP000113,TAP000165,encounter_type_mapping,tactical,2026-03,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,2026-03-02T19:11:00,46,deflected,,kmoreau@northharbor.health,,0.58,,false,
RSP000114,TAP000166,encounter_type_mapping,tactical,2026-03,iharlow@northharbor.health,Ines Harlow,Clinical Operations,ic,2026-03-06T14:36:00,175,answered,Inpatient,,,0.56,,true,
RSP000115,TAP000167,encounter_type_mapping,tactical,2026-03,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,2026-03-16T16:01:00,65,answered,Outpatient,,,0.82,true,true,
RSP000116,TAP000168,encounter_type_mapping,tactical,2026-03,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,2026-03-06T20:26:00,141,answered,Telehealth,,,0.83,true,true,
RSP000117,TAP000169,encounter_type_mapping,tactical,2026-03,hlindqvist@northharbor.health,Hanna Lindqvist,Clinical Operations,lead,2026-03-23T19:36:00,203,answered,Emergency,,,1.0,true,true,
RSP000118,TAP000170,encounter_type_mapping,tactical,2026-03,dschultz@northharbor.health,Dana Schultz,Clinical Operations,ic,2026-03-17T10:03:00,31,answered,Outpatient,,,0.67,,true,
RSP000119,TAP000171,encounter_type_mapping,tactical,2026-03,dschultz@northharbor.health,Dana Schultz,Clinical Operations,ic,2026-03-20T13:51:00,50,answered,Observation,,,0.98,true,true,
RSP000120,TAP000172,encounter_type_mapping,tactical,2026-03,iharlow@northharbor.health,Ines Harlow,Clinical Operations,ic,2026-03-23T10:13:00,101,answered,Outpatient,,,0.86,true,false,
RSP000121,TAP000173,encounter_type_mapping,tactical,2026-03,obayo@northharbor.health,Olu Bayo,Clinical Operations,ic,2026-03-19T18:37:00,110,answered,Observation,,,0.79,,true,
RSP000122,TAP000174,encounter_type_mapping,tactical,2026-03,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,2026-03-01T18:44:00,295,answered,Outpatient,,,0.86,false,true,
RSP000123,TAP000175,encounter_type_mapping,tactical,2026-03,obayo@northharbor.health,Olu Bayo,Clinical Operations,ic,2026-03-14T12:16:00,68,answered,Emergency,,,0.76,true,true,
RSP000124,TAP000176,encounter_type_mapping,tactical,2026-03,jmwangi@northharbor.health,James Mwangi,Clinical Operations,ic,2026-03-29T12:28:00,180,answered,Not sure,,see thread,0.2,true,false,2026-04-05T12:28:00
RSP000125,TAP000177,encounter_type_mapping,tactical,2026-03,hlindqvist@northharbor.health,Hanna Lindqvist,Clinical Operations,lead,2026-03-22T17:17:00,16,answered,Not a real encounter -- exclude,,see thread,0.63,true,true,
RSP000126,TAP000178,encounter_type_mapping,tactical,2026-03,jmwangi@northharbor.health,James Mwangi,Clinical Operations,ic,2026-03-22T17:34:00,13,answered,Telehealth,,,0.91,true,true,
RSP000127,TAP000179,denial_reason_classification,tactical,2026-04,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-04-13T16:04:00,21,answered,Not sure -- route to a coder,,see thread,0.17,true,false,2026-04-30T16:04:00
RSP000128,TAP000180,denial_reason_classification,tactical,2026-04,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-04-02T09:09:00,44,answered,Coding or documentation,,,0.96,,true,
RSP000129,TAP000181,denial_reason_classification,tactical,2026-04,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-04-04T16:29:00,27,answered,Eligibility or coverage,,,0.82,,true,
RSP000130,TAP000182,denial_reason_classification,tactical,2026-04,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-04-08T15:40:00,65,answered,Timely filing,,,0.85,true,true,
RSP000131,TAP000183,denial_reason_classification,tactical,2026-04,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-04-29T13:00:00,13,answered,Authorization or referral,,,0.94,true,true,
RSP000132,TAP000185,denial_reason_classification,tactical,2026-04,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-04-02T09:55:00,31,answered,Eligibility or coverage,,,0.84,true,true,
RSP000133,TAP000186,denial_reason_classification,tactical,2026-04,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-04-09T13:54:00,53,answered,Clinical / medical necessity,,,0.8,,true,
RSP000134,TAP000187,denial_reason_classification,tactical,2026-04,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-04-18T17:46:00,51,answered,Timely filing,,,0.82,,false,
RSP000135,TAP000188,denial_reason_classification,tactical,2026-04,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-04-19T12:49:00,19,answered,Not sure -- route to a coder,,see thread,0.56,,false,2026-06-03T12:49:00
RSP000136,TAP000189,denial_reason_classification,tactical,2026-04,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-04-18T08:49:00,11,answered,Not sure -- route to a coder,,see thread,0.61,,false,
