entry_id,tap_id,employee_email,employee_name,department,authority_level,quarter,month,tap_type_id,tap_class,points,amount_usd,status
INC000013,TAP000018,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000014,TAP000020,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000015,TAP000022,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000016,TAP000023,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000017,TAP000025,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000018,TAP000027,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000019,TAP000029,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000020,TAP000030,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000021,TAP000031,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000022,TAP000032,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000023,TAP000036,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000024,TAP000037,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000025,TAP000038,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000026,TAP000039,lbrennan@northharbor.health,Liam Brennan,Revenue Cycle,manager,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000027,TAP000040,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000028,TAP000047,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000029,TAP000049,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000030,TAP000050,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000031,TAP000058,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000032,TAP000059,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000033,TAP000061,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000034,TAP000065,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000035,TAP000066,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000036,TAP000070,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000037,TAP000072,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000038,TAP000073,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000039,TAP000074,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000040,TAP000085,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000041,TAP000089,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000042,TAP000090,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-02,charge_capture_variance,tactical,0.4,4.8,paid
INC000043,TAP000093,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000044,TAP000096,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000045,TAP000097,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000046,TAP000098,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000047,TAP000100,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000048,TAP000102,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000049,TAP000103,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000050,TAP000104,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000051,TAP000105,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000052,TAP000106,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000053,TAP000107,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000054,TAP000108,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000055,TAP000109,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000056,TAP000111,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000057,TAP000115,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000058,TAP000117,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-03,denial_reason_classification,tactical,0.5,6.0,paid
INC000059,TAP000124,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-03,charge_capture_variance,tactical,0.4,4.8,paid
INC000060,TAP000130,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-03,charge_capture_variance,tactical,0.4,4.8,paid
INC000061,TAP000131,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-03,charge_capture_variance,tactical,0.4,4.8,paid
INC000062,TAP000133,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-03,charge_capture_variance,tactical,0.4,4.8,paid
INC000063,TAP000137,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-03,charge_capture_variance,tactical,0.4,4.8,paid
INC000064,TAP000138,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-03,charge_capture_variance,tactical,0.4,4.8,paid
INC000065,TAP000144,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-03,charge_capture_variance,tactical,0.4,4.8,paid
INC000066,TAP000159,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-03,charge_capture_variance,tactical,0.4,4.8,paid
INC000067,TAP000161,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000068,TAP000162,iharlow@northharbor.health,Ines Harlow,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000069,TAP000164,dschultz@northharbor.health,Dana Schultz,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000070,TAP000167,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000071,TAP000168,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000072,TAP000169,hlindqvist@northharbor.health,Hanna Lindqvist,Clinical Operations,lead,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000073,TAP000170,dschultz@northharbor.health,Dana Schultz,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000074,TAP000171,dschultz@northharbor.health,Dana Schultz,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000075,TAP000173,obayo@northharbor.health,Olu Bayo,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000076,TAP000174,apereira@northharbor.health,Ana Pereira,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000077,TAP000175,obayo@northharbor.health,Olu Bayo,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000078,TAP000177,hlindqvist@northharbor.health,Hanna Lindqvist,Clinical Operations,lead,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000079,TAP000178,jmwangi@northharbor.health,James Mwangi,Clinical Operations,ic,FY27-Q1,2026-03,encounter_type_mapping,tactical,0.8,9.6,paid
INC000080,TAP000180,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000081,TAP000181,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000082,TAP000182,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000083,TAP000183,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000084,TAP000185,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000085,TAP000186,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000086,TAP000191,lbrennan@northharbor.health,Liam Brennan,Revenue Cycle,manager,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000087,TAP000192,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000088,TAP000193,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000089,TAP000194,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q1,2026-04,denial_reason_classification,tactical,0.5,6.0,paid
INC000090,TAP000196,hlindqvist@northharbor.health,Hanna Lindqvist,Clinical Operations,lead,FY27-Q1,2026-04,encounter_type_mapping,tactical,0.8,9.6,paid
INC000091,TAP000197,jmwangi@northharbor.health,James Mwangi,Clinical Operations,ic,FY27-Q1,2026-04,encounter_type_mapping,tactical,0.8,9.6,paid
INC000092,TAP000198,jmwangi@northharbor.health,James Mwangi,Clinical Operations,ic,FY27-Q1,2026-04,encounter_type_mapping,tactical,0.8,9.6,paid
INC000093,TAP000200,iharlow@northharbor.health,Ines Harlow,Clinical Operations,ic,FY27-Q1,2026-04,encounter_type_mapping,tactical,0.8,9.6,paid
INC000094,TAP000204,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000095,TAP000205,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000096,TAP000207,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000097,TAP000210,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000098,TAP000211,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000099,TAP000213,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000100,TAP000214,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000101,TAP000216,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000102,TAP000220,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000103,TAP000221,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000104,TAP000225,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000105,TAP000232,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000106,TAP000237,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000107,TAP000240,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000108,TAP000241,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000109,TAP000243,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000110,TAP000244,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000111,TAP000249,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000112,TAP000253,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000113,TAP000254,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000114,TAP000256,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000115,TAP000257,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000116,TAP000258,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000117,TAP000259,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000118,TAP000261,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000119,TAP000264,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000120,TAP000265,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000121,TAP000275,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000122,TAP000276,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000123,TAP000281,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000124,TAP000286,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000125,TAP000287,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000126,TAP000288,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000127,TAP000297,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000128,TAP000298,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000129,TAP000299,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000130,TAP000303,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000131,TAP000304,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000132,TAP000308,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000133,TAP000309,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000134,TAP000311,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000135,TAP000312,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000136,TAP000314,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000137,TAP000315,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000138,TAP000316,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000139,TAP000318,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000140,TAP000319,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000141,TAP000320,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000142,TAP000322,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000143,TAP000325,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000144,TAP000326,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000145,TAP000327,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000146,TAP000331,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000147,TAP000333,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000148,TAP000335,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000149,TAP000338,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000150,TAP000339,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000151,TAP000341,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000152,TAP000342,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000153,TAP000343,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000154,TAP000345,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000155,TAP000346,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000156,TAP000347,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000157,TAP000350,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000158,TAP000352,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000159,TAP000353,vosei@northharbor.health,Vera Osei,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000160,TAP000357,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000161,TAP000358,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000162,TAP000359,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000163,TAP000361,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000164,TAP000363,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000165,TAP000364,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000166,TAP000366,rsantos@northharbor.health,Rita Santos,Compliance,manager,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000167,TAP000367,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000168,TAP000369,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000169,TAP000370,bkoval@northharbor.health,Boris Koval,Compliance,ic,FY27-Q1,2026-04,phi_column_classification,tactical,1.2,14.4,paid
INC000170,TAP000376,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q2,2026-05,denial_reason_classification,tactical,0.5,6.0,paid
INC000171,TAP000377,lbrennan@northharbor.health,Liam Brennan,Revenue Cycle,manager,FY27-Q2,2026-05,denial_reason_classification,tactical,0.5,6.0,paid
INC000172,TAP000378,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q2,2026-05,denial_reason_classification,tactical,0.5,6.0,paid
INC000173,TAP000379,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q2,2026-05,denial_reason_classification,tactical,0.5,6.0,paid
INC000174,TAP000380,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,FY27-Q2,2026-05,denial_reason_classification,tactical,0.5,6.0,paid
INC000175,TAP000381,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q2,2026-05,denial_reason_classification,tactical,0.5,6.0,paid
INC000176,TAP000386,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q2,2026-05,denial_reason_classification,tactical,0.5,6.0,paid
INC000177,TAP000387,lbrennan@northharbor.health,Liam Brennan,Revenue Cycle,manager,FY27-Q2,2026-05,denial_reason_classification,tactical,0.5,6.0,paid
INC000178,TAP000390,iharlow@northharbor.health,Ines Harlow,Clinical Operations,ic,FY27-Q2,2026-05,encounter_type_mapping,tactical,0.8,9.6,paid
